"","ID","Year","Longitude","Latitude","PA","PAPrev","road_PA","Distance_to_shore","Habitat.boundary_open","Plant.dryness","Patch.shadow","Rainfall_August","Rainfall_July","Sh","PatchArea","Hostm2","Hostm2Prev","ShCat","PropDryPrev","PropDry","PathPresence"
"2","1",2,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0.15,2,11.42165734,44.53602008,123.2933277,1711,20,5,"2",0,15,FALSE
"3","1",3,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0,2,50.08412589,22.57626797,123.2933277,1711,5,20,"2",15,0,FALSE
"4","1",4,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0,2,44.52810687,85.59692587,123.2933277,1711,3.5,5,"2",0,0,FALSE
"5","1",5,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0,2,54.47706019,21.08911645,123.2933277,1711,4,3.5,"2",0,0,FALSE
"6","1",6,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0,2,50.00534769,25.36627864,123.2933277,1711,5,4,"2",0,0,FALSE
"7","1",7,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0.35,2,28.28001584,23.53570786,123.2933277,1711,6,5,"2",0,35,FALSE
"8","1",8,3100511.685,6712465.01,"0","0","FALSE",112.1815878,"TRUE",0.1,2,68.36293264,14.46871445,123.2933277,1711,5,6,"2",35,10,FALSE
"14","2",2,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0.05,1,15.13099655,52.06008697,150.1269011,3720,1,3,"2",0,5,FALSE
"15","2",3,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0.2,1,66.05241251,22.3383011,150.1269011,3720,1,1,"2",5,20,FALSE
"16","2",4,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0,1,43.14430338,56.34205581,150.1269011,3720,5,1,"2",20,0,FALSE
"17","2",5,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0.3,1,61.15837774,22.68145652,150.1269011,3720,1,5,"2",0,30,FALSE
"18","2",6,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0.001,1,59.87278833,24.1975917,150.1269011,3720,3,1,"2",30,0.1,FALSE
