Sample;Patch;x;y;Last modified on;Last modified on
1030_1;1030;95237.1359687977;6695661.41572975;6.6.2017;13:38:03
1030_10;1030;95238.3063734669;6695652.41727399;6.6.2017;14:32:08
1030_11;1030;95246.9167061568;6695647.71731074;6.6.2017;14:31:01
1030_12;1030;95245.1706809744;6695652.57946782;6.6.2017;14:29:58
1030_13;1030;95268.1550382311;6695648.8434813;6.6.2017;14:32:17
1030_14;1030;95211.6709678581;6695665.62605603;6.6.2017;14:02:23
1030_15;1030;95211.5941552222;6695665.5118429;6.6.2017;14:04:47
1030_16;1030;95213.5001945165;6695662.21390021;6.6.2017;14:05:58
1030_17;1030;95209.7393616989;6695659.58825112;6.6.2017;14:09:19
1030_18;1030;95209.5757649225;6695659.81763648;6.6.2017;14:12:41
1030_19;1030;95208.3969753532;6695641.95485997;6.6.2017;14:13:33
1030_2;1030;95237.0530641664;6695661.66664054;6.6.2017;13:38:39
1030_20;1030;95208.0495637648;6695643.72955807;6.6.2017;16:44:56
1030_3;1030;95236.9514115081;6695662.01851512;6.6.2017;13:39:13
1030_4;1030;95236.3234422881;6695661.35677818;6.6.2017;13:35:27
1030_5;1030;95236.8028422384;6695662.4928942;6.6.2017;13:41:11
1030_6;1030;95247.1659316304;6695680.07310848;6.6.2017;14:28:55
1030_7;1030;95247.9663668604;6695679.7395938;6.6.2017;14:26:25
1030_8;1030;95249.4442727186;6695677.32693358;6.6.2017;13:59:56
1030_9;1030;95247.6569555881;6695678.80534214;6.6.2017;13:46:30
1032_1;1032;97738.9308163274;6696112.9561904;6.6.2017;12:40:38
1032_10;1032;97739.9119449117;6696106.81733555;6.6.2017;12:51:39
1032_11;1032;97740.4112602513;6696106.14815005;6.6.2017;11:58:38
1032_12;1032;97743.1167217079;6696102.90803845;6.6.2017;12:19:47
1032_13;1032;97740.7505701125;6696102.89369813;6.6.2017;12:09:49
1032_14;1032;97745.0623136708;6696098.69065653;6.6.2017;12:01:13
1032_15;1032;97740.768029478;6696099.51205016;6.6.2017;12:00:11
1032_16;1032;97743.9182830252;6696100.12705056;6.6.2017;12:03:25
1032_17;1032;97736.5822418397;6696099.06076618;6.6.2017;12:08:28
1032_18;1032;97714.113630584;6696182.84818233;6.6.2017;12:22:33
1032_19;1032;97732.2339708335;6696139.06040795;6.6.2017;12:43:34
1032_2;1032;97739.5857432572;6696112.90734112;6.6.2017;11:40:47
1032_20;1032;97732.2338069269;6696138.91872902;6.6.2017;12:43:43
1032_3;1032;97738.8214781366;6696113.21541698;6.6.2017;11:42:54
1032_4;1032;97739.5890593235;6696114.10382329;6.6.2017;11:39:45
1032_5;1032;97740.5572262936;6696108.26041022;6.6.2017;11:46:46
1032_6;1032;97740.368571622;6696107.61778304;6.6.2017;11:48:01
1032_7;1032;97740.4571977629;6696107.51529993;6.6.2017;11:48:46
1032_8;1032;97740.5438931184;6696107.42968827;6.6.2017;11:49:39
1032_9;1032;97739.9170924925;6696107.34753638;6.6.2017;12:51:39
1076_1;1076;104199.585336305;6699383.86090997;6.6.2017;19:26:58
1076_10;1076;104204.158988935;6699369.90786477;6.6.2017;18:51:04
1076_11;1076;104209.170285541;6699376.56865011;6.6.2017;18:55:40
1076_12;1076;104163.282211854;6699361.20539003;6.6.2017;19:00:45
1076_13;1076;104163.3085497;6699361.01863076;6.6.2017;19:25:59
1076_14;1076;104163.160100021;6699361.1120104;6.6.2017;19:06:49
1076_15;1076;104162.844045865;6699360.89651893;6.6.2017;19:09:18
1076_16;1076;104164.29034657;6699357.62792039;6.6.2017;19:10:47
1076_17;1076;104161.904351694;6699374.37992438;6.6.2017;19:12:39
1076_18;1076;104157.425764997;6699372.59941604;6.6.2017;19:20:05
1076_19;1076;104187.693435373;6699410.29393204;6.6.2017;19:22:34
1076_2;1076;104199.50785462;6699383.87256242;6.6.2017;18:25:58
1076_20;1076;104191.943156143;6699408.97676713;6.6.2017;19:22:47
