Patch;Square;Date;Vegetation description on patch;Vegetation type on patch;Vegetation type around patch;location1;location2
861;1;30.6.2017;kuiva kallioniitty;;kuiva kangasmetsä;111767.970524129;6684647.24823328
861;2;30.6.2017;kuiva kallioniitty;;kuiva kangasmetsä;111782.062975915;6684679.91657461
861;3;30.6.2017;kuiva kallioniitty;;kuiva kangasmetsä;111790.014227093;6684692.27814974
861;4;30.6.2017;kuiva kallioniitty;;kuiva kangasmetsä;111772.428303139;6684727.7207893
861;5;30.6.2017;kuiva kallioniitty;;kuiva kangasmetsä;111774.093374041;6684765.36420573
187;1;29.6.2017;kuiva ja paahteinen tienpiennar;;piha;117418.876454993;6702494.58068327
187;2;29.6.2017;kuiva ja paahteinen tienpiennar;;piha;117404.211099282;6702502.71820698
187;3;29.6.2017;kuiva ja paahteinen tienpiennar;;piha;117392.875655775;6702508.26995363
187;4;29.6.2017;kuiva ja paahteinen tienpiennar;;piha;117350.347404251;6702533.4330731
853;1;29.6.2017;kuiva kallioketo;;kuiva kangasmetsä ja piha;108962.81912067;6694223.40063713
853;2;29.6.2017;kuiva kallioketo;;kuiva kangasmetsä ja piha;108958.563311845;6694221.14118976
853;3;29.6.2017;kuiva kallioketo;;kuiva kangasmetsä ja piha;108965.599452544;6694210.40474398
8560;1;28.6.2017;kuiva kallioketo, tienreuna;;merenranta, piha, soraparkkipaikka, hieman kauempana peltoa;115990.185555272;6675640.93143609
8560;2;28.6.2017;kuiva kallioketo, tienreuna;;merenranta, piha, soraparkkipaikka, hieman kauempana peltoa;115980.670600071;6675635.0080733
8560;3;28.6.2017;kuiva kallioketo, tienreuna;;merenranta, piha, soraparkkipaikka, hieman kauempana peltoa;115976.944604063;6675641.72091383
946;1;28.6.2017;rehevä ja kostea tienreuna ja kuivaa ketoa;;tuore kangasmetsä;121781.726153563;6679096.11417964
946;2;28.6.2017;rehevä ja kostea tienreuna ja kuivaa ketoa;;tuore kangasmetsä;121819.809585494;6679080.43250666
946;3;28.6.2017;rehevä ja kostea tienreuna ja kuivaa ketoa;;tuore kangasmetsä;121800.311686678;6679069.96613047
946;4;28.6.2017;rehevä ja kostea tienreuna ja kuivaa ketoa;;tuore kangasmetsä;121814.389714959;6679052.330088
1367;1;28.6.2017;kuiva kallioketo;;kuiva kangasmetsä;109883.856001776;6680543.25659514
1367;2;28.6.2017;kuiva kallioketo;;kuiva kangasmetsä;109891.254339873;6680536.91151791
