Sample ID,Patch,Plant ID,noleaves,noflowers,leaflenght,leafwidth,curly,yellow,necrotic,roundholes,largehole,window,vein,roundhole,bite,suck,moth,miner,thrips,spittle
187_1,187,1,39,14,7.3,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187_2,187,2,11,5,10.4,0.7,1,0,0,0,0,0,0,1,0,0,0,0,1,0
187_3,187,3,15,3,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
187_4,187,4,12,5,14.1,1.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0
187_5,187,5,17,8,13.1,0.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0
187_6,187,6,28,3,8.6,1.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
187_7,187,7,39,12,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187_8,187,8,58,22,12.9,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187_9,187,9,68,20,11.6,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
187_10,187,10,53,14,11.4,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187_11,187,11,14,7,10.7,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187_12,187,12,26,4,10.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187_13,187,13,24,18,10.2,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187_14,187,14,16,7,13.7,1.8,0,1,0,0,0,0,0,0,0,1,0,0,1,0
187_15,187,15,14,0,6.3,1.2,1,1,0,0,1,0,0,1,0,0,0,0,1,0
187_16,187,16,22,11,7.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187_17,187,17,31,13,8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187_18,187,18,84,70,20.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187_19,187,19,20,14,11.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187_20,187,20,33,21,13.6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
617_1,617,1,21,9,23.3,1.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
617_2,617,2,22,13,26.1,1.7,1,1,0,0,1,0,0,1,0,0,0,0,0,0
617_3,617,3,25,10,22,0.9,1,1,0,0,0,1,0,1,0,0,1,0,0,0
617_4,617,4,21,3,11.4,0.4,1,1,0,0,1,1,0,0,0,1,0,0,0,0
617_5,617,5,20,5,11.3,1.3,1,1,0,0,0,1,0,1,0,1,0,0,0,0
617_6,617,6,21,5,21.5,1.9,1,0,0,0,1,1,0,0,0,0,1,0,0,0
617_7,617,7,10,4,19.5,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
617_8,617,8,17,10,23,1.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
617_9,617,9,11,3,12,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
617_10,617,10,15,5,17,1.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
617_11,617,11,15,7,10.3,1.26,1,1,0,0,1,0,0,0,0,0,1,0,0,0
617_12,617,12,19,1,8.8,1.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0
617_13,617,13,8,2,12.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
617_14,617,14,15,6,13.7,1.3,1,0,0,0,1,1,0,0,0,0,0,0,0,0
617_15,617,15,8,3,22,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617_16,617,16,20,6,9.6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
617_17,617,17,41,8,18.5,1.1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
617_18,617,18,8,3,24.2,2.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0
617_19,617,19,15,5,26.5,1.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0
617_20,617,20,19,4,11,0.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0
657_1,657,1,31,8,10.3,0.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0
657_2,657,2,26,10,10.1,0.9,0,1,0,0,0,1,0,0,0,1,0,0,0,0
657_3,657,3,24,8,11.7,1.3,1,1,0,0,0,1,0,0,0,0,1,0,0,0
657_4,657,4,16,12,16.3,1.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
657_5,657,5,40,8,10.1,1.2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
657_6,657,6,13,10,20,1.3,0,0,0,0,0,1,0,1,0,0,1,0,0,0
657_7,657,7,12,1,12.3,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
657_8,657,8,61,7,14.2,0.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0
657_9,657,9,62,8,11,0.9,1,1,0,0,1,1,0,0,0,0,0,0,0,0
657_10,657,10,27,11,17.5,1.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0
657_11,657,11,43,22,11,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
657_12,657,12,14,4,9.7,0.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0
657_13,657,13,19,9,16.4,1.2,1,0,0,0,1,1,0,0,0,1,0,0,0,0
657_14,657,14,25,14,12.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
657_15,657,15,64,5,11.1,1.1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
