Patch;Square;Plant;PlantFinnish;Monocot;Dicot;Coverage;Herbivory %;Virotic
861;1;Plantago lanceolata;heinäratamo;0;1;2;100;100
861;1;Vicia hirsuta;peltovirvilä;0;1;2;0;0
861;1;Trifolium arvense;jänönapila;0;1;0,5;0;0
861;1;Saxifraga granulata;papelorikko;0;1;0,5;0;0
861;1;Hylotelephium telephium;isomaksaruoho;0;1;2;10;0
861;1;Geranium molle;pehmytkurjenpolvi;0;1;0,2;0;0
861;1;Potentilla argentea;hopeahanhikki;0;1;0,2;0;0
861;1;Dactylis glomerata;koiranheinä;1;0;35;0;0
861;1;Agrostis sp;rölli sp;1;0;2;0;0
861;1;Viola arvensis;pelto-orvokki;0;1;0,5;50;0
861;1;Drapa muralis;vallikynsimö;0;1;1;0;0
861;1;Bromus hordeacus;mäkikattara;1;0;0,5;0;0
861;1;Veronica arvensis;ketotädyke;0;1;0,5;0;0
861;1;Myosotis ramosissima;mäkilemmikki;0;1;0,5;0;0
861;1;Helictotrichon pubescens;mäkikaura;1;0;15;0;0
861;1;Festuca ovina;lampaannata;1;0;1;0;0
861;1;Anthriscus sylvestris;koiranputki;0;1;1;0;0
861;1;Alopecurus geniculatus;polvipuntarpää;1;0;0,5;0;0
861;1;Galium verum;keltamatara;0;1;0,5;0;0
861;1;bryophytes;sammalet;0;0;20;0;0
861;1;lichens;jäkälät;0;0;0;0;0
861;2;Rumex acetosella;ahosuolaheinä;0;1;3;40;0
861;2;Spergula morisonii;kalliohatikka;0;1;1,5;0;0
861;2;Deschampsia flexuosa;metsälauha;1;0;10;0;0
861;2;Agrostis capillaris;nurmirölli;1;0;2;0;0
861;2;lichens;jäkälät;0;0;90;0;0
861;3;Potentilla argentea;hopeahanhikki;0;1;3;0;0
861;3;Galium verum;keltamatara;0;1;2;0;0
861;3;Plantago lanceolata;heinäratamo;0;1;3;100;30
861;3;Poa compressa;litteänurmikka;1;0;20;0;0
861;3;Agrostis sp;rölli sp;1;0;25;0;0
861;3;Viola arvensis;pelto-orvokki;0;1;0,5;0;0
861;3;Veronica arvensis;ketotädyke;0;1;0,2;0;0
861;3;Myosotis ramosissima;mäkilemmikki;0;1;0,5;0;0
861;3;Geranium molle;pehmytkurjenpolvi;0;1;0,5;0;0
861;3;Vicia hirsuta;peltovirvilä;0;1;0,1;0;0
861;3;Hylotelephium telephium;isomaksaruoho;0;1;1;100;0
861;3;Galium album;paimenmatara;0;1;1;0;100
861;3;Pilosella cymosa;viuhkokeltano;0;1;1,5;0;0
861;3;Acer platanoides;metsävaahtera;0;1;0,2;0;0
861;3;bryophytes;sammalet;0;0;25;0;0
861;3;lichens;jäkälät;0;0;0;0;0
861;4;Festuca ovina;lampaannata;1;0;20;0;0
861;4;Plantago lanceolata;heinäratamo;0;1;1,5;100;0
861;4;Hylotelephium telephium;isomaksaruoho;0;1;2;30;0
861;4;Agrostis sp;rölli sp;1;0;2;0;0
861;4;Sedum album;valkomaksaruoho;0;1;10;0;0
861;4;Rumex longifolius;hevonhierakka;0;1;2;100;100
861;4;Bromus hordeacus;mäkikattara;1;0;1,5;0;0
861;4;Rumex acetosella;ahosuolaheinä;0;1;1;0;0
861;4;Rumex acetosa;niittysuolaheinä;0;1;0,1;0;0
861;4;Vicia tetrasperma;mäkivirvilä;0;1;0,5;0;0
861;4;Geranium molle;pehmytkurjenpolvi;0;1;0,1;0;0
861;4;Galium verum;keltamatara;0;1;0,5;0;0
861;4;Viola arvensis;pelto-orvokki;0;1;0,5;0;0
861;4;Agrostis capillaris;nurmirölli;1;0;2;0;0
861;4;Anthriscus sylvestris;koiranputki;0;1;2;0;0
861;4;Dactylis glomerata;koiranheinä;1;0;1,5;0;0
861;4;bryophytes;sammalet;0;0;10;0;0
861;4;lichens;jäkälät;0;0;15;0;0
861;5;Plantago lanceolata;heinäratamo;0;1;1;100;100
861;5;Viola arvensis;pelto-orvokki;0;1;2,5;0;0
861;5;Dactylis glomerata;koiranheinä;1;0;7;0;0
861;5;Agrostis capillaris;nurmirölli;1;0;30;0;0
861;5;Galium verum;keltamatara;0;1;1,5;0;0
861;5;Hylotelephium telephium;isomaksaruoho;0;1;1;75;0
861;5;Senecio sylvaticus;kalliovillakko;0;1;0,1;0;0
861;5;bryophytes;sammalet;0;0;1;0;0
861;5;lichens;jäkälät;0;0;1;0;0
187;1;Arenaria serpyllifolia;mäkiarho;0;1;0,5;0;0
187;1;Galium verum;keltamatara;0;1;3;0;0
187;1;Pilosella officinarum;huopakeltano;0;1;6;30;100
187;1;Plantago lanceolata;heinäratamo;0;1;2;100;30
187;1;Achillea millefolium;siankärsämö;0;1;2;0;0
187;1;Trifolium arvense;jänönapila;0;1;0,5;0;0
187;1;Dactylis glomerata;koiranheinä;1;0;3;0;0
187;1;Ranunculus bulbosus;mäkileinikki;0;1;0,1;0;0
187;1;Vicia hirsuta;peltovirvilä;0;1;0,1;0;0
187;1;Scleranthus annuus;viherjäsenruoho;0;1;0,1;0;0
187;1;Poa compressa;litteänurmikka;1;0;2;0;0
187;1;Rumex acetosa;niittysuolaheinä;0;1;0,1;0;0
187;1;Bromus hordeacus;mäkikattara;1;0;0,1;0;0
187;1;lichens;jäkälät;0;0;0;0;0
187;1;bryophytes;sammalet;0;0;40;0;0
187;2;Dianthus deltoides;ketoneilikka;0;1;20;0;0
187;2;Silene viscaria;mäkitervakko;0;1;20;0;10
187;2;Centaurea jacea;ahdekaunokki;0;1;0,5;100;0
187;2;Vicia hirsuta;peltovirvilä;0;1;2;0;0
187;2;Rosa dumalis;koiranruusu;0;1;1,5;0;50
187;2;Arabis glabra;pölkkyruoho;0;1;0,5;0;0
187;2;Potentilla argentea;hopeahanhikki;0;1;1;0;0
187;2;Trifolium arvense;jänönapila;0;1;0,2;0;0
187;2;Dactylis glomerata;koiranheinä;1;0;2;0;0
187;2;Galium verum;keltamatara;0;1;1;0;0
187;2;Achillea millefolium;siankärsämö;0;1;0,5;0;0
187;2;Pilosella officinarum;huopakeltano;0;1;2;0;100
187;2;Ranunculus bulbosus;mäkileinikki;0;1;2;0;0
187;2;Poa compressa;litteänurmikka;1;0;1;0;0
187;2;Allium vineale;hietalaukka;1;0;0,5;0;0
187;2;Agrostis sp;rölli sp;1;0;2;0;0
187;2;Hieracium umbellata;sarjakeltano;0;1;0,5;0;0
187;2;bryophytes;sammalet;0;0;0;0;0
187;2;lichens;jäkälät;0;0;0;0;0
187;3;Plantago lanceolata;heinäratamo;0;1;3;100;0
187;3;Potentilla argentea;hopeahanhikki;0;1;2;0;0
187;3;Galium verum;keltamatara;0;1;15;0;0
187;3;Achillea millefolium;siankärsämö;0;1;3;0;0
187;3;Silene viscaria;mäkitervakko;0;1;6;0;0
187;3;Pilosella officinarum;huopakeltano;0;1;2;0;0
187;3;Trifolium repens;valkoapila;0;1;0,2;0;0
187;3;Dactylis glomerata;koiranheinä;1;0;0,5;0;0
187;3;Rosa dumalis;koiranruusu;0;1;0,5;0;0
187;3;Arabis glabra;pölkkyruoho;0;1;0,2;0;0
187;3;Taraxacum sp;voikukka sp;0;1;0,1;0;0
187;3;Trifolium arvense;jänönapila;0;1;0,5;0;0
187;3;Vicia hirsuta;peltovirvilä;0;1;5;0;0
187;3;Bromus hordeacus;mäkikattara;1;0;0,1;0;0
187;3;Phleum pratense;timotei;1;0;0,1;0;0
187;3;Poa pratensis;niittynurmikka;1;0;1;0;0
187;3;Agrostis sp;rölli sp;1;0;10;0;0
187;3;Poa compressa;litteänurmikka;1;0;0,1;0;0
187;3;bryophytes;sammalet;0;0;0;0;0
187;3;lichens;jäkälät;0;0;0;0;0
187;4;Trifolium arvense;jänönapila;0;1;7;0;0
187;4;Plantago lanceolata;heinäratamo;0;1;20;60;70
187;4;Tripleurospermum maritimum;peltosaunio;0;1;0,5;0;0
187;4;Arenaria serpyllifolia;mäkiarho;0;1;1,5;0;0
187;4;Trifolium pratense;puna-apila;0;1;2;100;0
187;4;Scleranthus annuus;viherjäsenruoho;0;1;0,5;0;0
187;4;Elymus repens;juolavehnä;1;0;0,1;0;0
187;4;Agrostis sp;rölli sp;1;0;0,5;0;0
187;4;Cerastium semidecandrum;mäkihärkki;0;1;0,1;0;0
187;4;Cerastium sp;härkki sp;0;1;0,1;0;0
187;4;bryophytes;sammalet;0;0;0;0;0
187;4;lichens;jäkälät;0;0;0;0;0
853;1;Plantago lanceolata;heinäratamo;0;1;5;90;0
853;1;Silene  viscaria;mäkitervakko;0;1;3;30;0
853;1;Polygonatum odoratum;kalliokielo;1;0;1;100;0
853;1;Sedum album;valkomaksaruoho;0;1;3;0;0
853;1;Sedum acre;keltamaksaruoho;0;1;0,2;0;0
853;1;Trifolium arvense;jänönapila;0;1;2;1;0
853;1;Potentilla argentea;hopeahanhikki;0;1;1;0;0
853;1;Hylotelephium telephium;isomaksaruoho;0;1;1;30;0
853;1;Allium schoenoprasum;ruoholaukka;1;0;0,1;0;0
853;1;Galium verum;keltamatara;0;1;0,1;0;0
853;1;Asplenium septentrionale;liuskaraunioinen;0;0;0,1;0;0
853;1;Bromus hordeacus;mäkikattara;1;0;0,2;0;0
853;1;Myosotis ramosissima;mäkilemmikki;0;1;0,1;0;0
853;1;Geranium molle;pehmytkurjenpolvi;0;1;0,1;0;0
853;1;Vicia hirsuta;peltovirvilä;0;1;0,1;0;0
853;1;Poa compressa;litteänurmikka;1;0;20;0;0
853;1;Pilosella cymosa;viuhkokeltano;0;1;0,5;100;0
853;1;bryophytes;sammalet;0;0;90;0;0
853;1;lichens;jäkälät;0;0;5;0;0
853;2;Allium schoenoprasum;ruoholaukka;1;0;4;0;0
853;2;Plantago lanceolata;heinäratamo;0;1;2;100;50
853;2;Silene viscaria;mäkitervakko;0;1;7;0;0
853;2;Dactylis glomerata;koiranheinä;1;0;0,5;0;0
853;2;Hylotelephium telephium;isomaksaruoho;0;1;1;0;0
853;2;Asplenium septentrionale;liuskaraunioinen;0;0;1;0;0
853;2;Pilosella cymosa;viuhkokeltano;0;1;0,5;100;0
853;2;Trifolium arvense;jänönapila;0;1;0,1;0;0
853;2;Vicia hirsuta;peltovirvilä;0;1;0,5;0;0
853;2;Sedum album;valkomaksaruoho;0;1;1;0;0
853;2;Saxifraga granulata;papelorikko;0;1;0,5;0;0
853;2;Avenula pubescens;mäkikaura;1;0;1;0;0
853;2;Galium verum;keltamatara;0;1;0,1;0;0
853;2;Geranium molle;pehmytkurjenpolvi;0;1;0,1;0;0
853;2;Festuca ovina;lampaannata;1;0;1;0;0
853;2;Deschampsia flexuosa;metsälauha;1;0;2;0;0
853;2;Potentilla argentea;hopeahanhikki;0;1;0,1;0;0
853;2;bryophytes;sammalet;0;0;25;0;0
853;2;lichens;jäkälät;0;0;75;0;0
853;3;Plantago lanceolata;heinäratamo;0;1;2;100;0
853;3;Ranunculus bulbosus;mäkileinikki;0;1;4;0;30
853;3;Allium schoenoprasum;ruoholaukka;1;0;1;0;0
853;3;Silene viscaria;mäkitervakko;0;1;1;0;0
853;3;Anthoxanthum odoratum;eteläntuoksusimake;1;0;1;0;0
853;3;Viola arvensis;pelto-orvokki;0;1;0,1;0;0
853;3;Hylotelephium telephium;isomaksaruoho;0;1;0,5;0;0
853;3;Pilosella cymosa;viuhkokeltano;0;1;1;100;100
853;3;Rumex acetosella;ahosuolaheinä;0;1;0,3;0;0
853;3;Agrostis sp;rölli sp;1;0;2;0;0
853;3;bryophytes;sammalet;0;0;20;0;0
853;3;lichens;jäkälät;0;0;80;0;0
8560;1;Geranium sanguineum;verikurjenpolvi;0;1;20;0;0
8560;1;Avenula pubescens;mäkikaura;1;0;1,5;0;0
8560;1;Filipendula vulgaris;sikoangervo;0;1;10;100;100
8560;1;Plantago lanceolata;heinäratamo;0;1;1,5;100;50
8560;1;Hylotelephium telephium;isomaksaruoho;0;1;0,5;30;0
8560;1;Galium verum;keltamatara;0;1;1,5;0;0
8560;1;Ranunculus bulbosus;mäkileinikki;0;1;1;0;0
8560;1;Pilosella officinarum;huopakeltano;0;1;1;50;0
8560;1;Fragaria vesca;ahomansikka;0;1;0,2;0;0
8560;1;Achillea millefolium;siankärsämö;0;1;1;0;0
8560;1;Alopecurus pratensis ;nurmipuntarpää;1;0;0,5;0;0
8560;1;Veronica chamaedrys;nurmitädyke;0;1;0,2;0;0
8560;1;Rumex acetosa;niittysuolaheinä;0;1;0,2;100;0
8560;1;Trifolium medium;metsäapila;0;1;2;60;0
8560;1;Festuca ovina;lampaannata;1;0;4;0;0
8560;1;bryophytes;sammalet;0;0;4;0;0
8560;1;lichens;jäkälät;0;0;0;0;0
8560;2;Plantago lanceolata;heinäratamo;0;1;6;50;0
