V1;V2;V3
1;Secoviridae;Intercept;-2.9
2;Virgaviridae;Intercept;-3.77
3;Betaflexiviridae;Intercept;-2.41
4;Alphaflexiviridae;Intercept;-4.1
5;Tymoviridae;Intercept;-4.24
6;Caulimoviridae;Intercept;-1.16
7;Avsunviroidae;Intercept;-3.89
8;Pospiviroidae;Intercept;-3.29
9;Luteoviridae;Intercept;-2.18
10;Closteroviridae;Intercept;-0.8
11;Bromoviridae;Intercept;-4.48
12;Tombusviridae;Intercept;-4.35
13;Potyviridae;Intercept;-2.55
14;Fimoviridae;Intercept;-3.84
15;Partitiviridae;Intercept;-2.41
16;Geminiviridae;Intercept;-2.4
17;Betaflexiviridae;Secoviridae;1.02
18;Tymoviridae;Secoviridae;0.93
19;Caulimoviridae;Secoviridae;0.49
20;Tombusviridae;Secoviridae;0.11
21;Potyviridae;Secoviridae;0.37
22;Alphaflexiviridae;Virgaviridae;0.6
23;Closteroviridae;Virgaviridae;0.1
24;Tombusviridae;Virgaviridae;1.19
25;Geminiviridae;Virgaviridae;0.22
26;Secoviridae;Betaflexiviridae;1.02
27;Closteroviridae;Betaflexiviridae;0.05
28;Bromoviridae;Betaflexiviridae;1.89
29;Potyviridae;Betaflexiviridae;0.31
30;Virgaviridae;Alphaflexiviridae;0.6
31;Caulimoviridae;Alphaflexiviridae;0.38
32;Tombusviridae;Alphaflexiviridae;0.55
33;Fimoviridae;Alphaflexiviridae;1.69
34;Geminiviridae;Alphaflexiviridae;0.58
35;Secoviridae;Tymoviridae;0.93
36;Pospiviroidae;Tymoviridae;0.75
37;Bromoviridae;Tymoviridae;2.08
38;Secoviridae;Caulimoviridae;0.49
39;Alphaflexiviridae;Caulimoviridae;0.38
40;Closteroviridae;Caulimoviridae;0.23
41;Partitiviridae;Caulimoviridae;0.32
42;Bromoviridae;Avsunviroidae;0.8
43;Tombusviridae;Avsunviroidae;0.03
44;Tymoviridae;Pospiviroidae;0.75
45;Bromoviridae;Pospiviroidae;0.12
46;Potyviridae;Pospiviroidae;0.99
47;Geminiviridae;Pospiviroidae;0.55
48;Tombusviridae;Luteoviridae;0.37
49;Fimoviridae;Luteoviridae;0.34
50;Virgaviridae;Closteroviridae;0.1
51;Betaflexiviridae;Closteroviridae;0.05
52;Caulimoviridae;Closteroviridae;0.23
53;Betaflexiviridae;Bromoviridae;1.89
54;Tymoviridae;Bromoviridae;2.08
55;Avsunviroidae;Bromoviridae;0.8
56;Pospiviroidae;Bromoviridae;0.12
57;Tombusviridae;Bromoviridae;1.19
58;Potyviridae;Bromoviridae;1.26
59;Partitiviridae;Bromoviridae;1.29
